Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Oman,81503.0,87075.0,87459.0,86807.0,90288.0,95438.0,103669.0,111211.0,122639.0,130968.0
Pakistan,360816.0,376203.0,393956.0,420716.0,464336.0,521799.0,569196.0,616944.0,660139.0,666766.0
Palau,160.0,176.0,187.0,183.0,196.0,209.0,214.0,223.0,215.0,201.0
Panama,25326.0,26041.0,27041.0,28740.0,31727.0,35072.0,39242.0,45184.0,50589.0,51546.0
Papua New Guinea,10608.0,10834.0,10985.0,12215.0,12616.0,13565.0,14338.0,15876.0,16133.0,17340.0
Paraguay,35381.0,35877.0,36428.0,38752.0,41407.0,43616.0,47124.0,51021.0,55377.0,55587.0
Peru,132440.0,136260.0,145931.0,155008.0,167063.0,183130.0,202994.0,226239.0,251621.0,256009.0
Philippines,267951.0,282342.0,297398.0,318695.0,348748.0,377462.0,409796.0,448308.0,476755.0,486760.0
Poland,452059.0,467815.0,481964.0,508671.0,548352.0,585380.0,640441.0,704195.0,747842.0,773952.0
Portugal,212498.0,221509.0,226696.0,229019.0,239373.0,248810.0,260655.0,274409.0,280564.0,273547.0
Puerto Rico,87397.0,97827.0,101508.0,105935.0,110940.0,112145.0,113976.0,115696.0,115740.0,114207.0
Qatar,57331.0,61261.0,66492.0,70507.0,86319.0,95963.0,126704.0,153799.0,184170.0,209562.0
Romania,185932.0,200041.0,214745.0,224110.0,254124.0,274328.0,305498.0,336451.0,374818.0,356407.0
Russia,1537897.0,1652594.0,1757977.0,1924417.0,2117874.0,2323559.0,2590557.0,2887648.0,3097461.0,2873513.0
Rwanda,5001.0,5548.0,6377.0,6648.0,7334.0,8273.0,9314.0,10298.0,11666.0,12473.0
Samoa,497.0,546.0,585.0,628.0,665.0,731.0,770.0,795.0,839.0,839.0
San Marino,1443.0,1557.0,1586.0,1681.0,1805.0,1906.0,2040.0,2244.0,2279.0,2061.0
São Tomé and Príncipe,254.0,266.0,277.0,301.0,321.0,355.0,399.0,423.0,466.0,481.0
Saudi Arabia,823191.0,831545.0,820697.0,930980.0,1032051.0,1123745.0,1190721.0,1245489.0,1348705.0,1329398.0
Senegal,19568.0,20871.0,21211.0,22840.0,24542.0,26403.0,27852.0,29413.0,31087.0,32147.0
Serbia,47453.0,50944.0,55420.0,59009.0,66075.0,75067.0,81336.0,88913.0,95743.0,93724.0
Seychelles,1132.0,1131.0,1162.0,1115.0,1113.0,1251.0,1411.0,1600.0,1596.0,1588.0
Sierra Leone,2515.0,3039.0,3901.0,4349.0,4761.0,5131.0,5513.0,6118.0,6572.0,6825.0
Singapore,176354.0,178400.0,188273.0,200697.0,226321.0,250596.0,281591.0,315293.0,327343.0,329839.0
Slovakia,67013.0,70752.0,75095.0,80789.0,87337.0,96041.0,107414.0,122266.0,131558.0,125177.0
Slovenia,35803.0,37787.0,39721.0,41704.0,44691.0,47843.0,52153.0,57301.0,60450.0,56245.0
Solomon Islands,602.0,566.0,559.0,607.0,665.0,724.0,783.0,840.0,905.0,935.0
Somalia,,,,,,,,,,
South Africa,381724.0,400863.0,422175.0,443204.0,475829.0,516648.0,562435.0,608599.0,640063.0,634257.0
South Sudan,,,,,,,,,,
Spain,968334.0,1029128.0,1073673.0,1127531.0,1193900.0,1276364.0,1369742.0,1457433.0,1498582.0,1451343.0
Sri Lanka,81918.0,82132.0,86520.0,93469.0,101204.0,110893.0,123081.0,134998.0,145774.0,151900.0
Saint Kitts and Nevis,690.0,743.0,765.0,749.0,800.0,905.0,963.0,995.0,1127.0,1096.0
Saint Lucia,1458.0,1440.0,1469.0,1562.0,1720.0,1767.0,1935.0,2026.0,2165.0,2139.0
Saint Vincent and the Grenadines,670.0,697.0,752.0,826.0,883.0,934.0,1037.0,1100.0,1139.0,1122.0
Sudan,85119.0,96495.0,103821.0,112528.0,121484.0,132370.0,145367.0,157858.0,167074.0,163491.0
Suriname,3817.0,4094.0,4314.0,4671.0,5147.0,5570.0,6073.0,6555.0,6958.0,7213.0
Sweden,261093.0,270845.0,281109.0,293278.0,314211.0,333329.0,359637.0,382059.0,387631.0,373185.0
Switzerland,296578.0,308244.0,313156.0,319081.0,336244.0,356685.0,382935.0,409256.0,428165.0,422057.0
Syria,71298.0,75587.0,81292.0,81208.0,89144.0,97654.0,105747.0,114767.0,122204.0,130259.0
Taiwan,478077.0,481996.0,516340.0,548775.0,602680.0,655041.0,714220.0,783772.0,805185.0,797275.0
Tajikistan,6605.0,7442.0,8246.0,9267.0,10524.0,11581.0,12774.0,14143.0,15553.0,16263.0
Tanzania,38239.0,41446.0,45107.0,49165.0,54436.0,60281.0,65037.0,72449.0,77948.0,82670.0
Thailand,459213.0,485732.0,523636.0,572359.0,624687.0,671257.0,726346.0,786520.0,815436.0,814994.0
Timor-Leste,1120.0,1333.0,1263.0,1260.0,1299.0,1380.0,1364.0,1544.0,1752.0,1940.0
Togo,6454.0,6653.0,7016.0,7635.0,7763.0,7633.0,8077.0,8197.0,8694.0,9234.0
Tonga,349.0,362.0,384.0,392.0,394.0,405.0,408.0,409.0,437.0,417.0
