Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Slovenia,,,,,,,,,,,,,22321.0,23489.0,25263.0,26850.0,28326.0,30270.0,31615.0,33769.0,35803.0,37787.0,39721.0,41704.0,44691.0,47843.0,52153.0,57301.0,60450.0,56245.0,57686.0,59391,59745,61745,63653,65283,70072,75777,81019,85149
Solomon Islands,223.0,240.0,250.0,270.0,280.0,280.0,285.0,317.0,332.0,360.0,382.0,418.0,482.0,513.0,567.0,637.0,659.0,664.0,680.0,687.0,602.0,566.0,559.0,607.0,665.0,724.0,783.0,840.0,905.0,935.0,1027.0,1125,1167,1251,1288,1319,1411,1514,1612,1660
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13105,10156,9015,9864,11346,12230,12655,13320,13952
South Africa,,,,,,,,,,,,,,275983.0,290898.0,306205.0,325220.0,339429.0,344966.0,358222.0,381724.0,400863.0,422175.0,443204.0,475829.0,516648.0,562435.0,608599.0,640063.0,634257.0,661392.0,696526,698221,730518,741916,758901,772769,790171,821082,836715
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32402,14508,17633,17392,16179,12577,11185,11231,11532
Spain,294435.0,320976.0,345030.0,364466.0,384033.0,405533.0,427895.0,463512.0,505215.0,551298.0,593930.0,629524.0,649347.0,656004.0,685658.0,728891.0,760210.0,803210.0,848548.0,901338.0,968334.0,1029128.0,1073673.0,1127531.0,1193900.0,1276364.0,1369742.0,1457433.0,1498582.0,1451343.0,1471250.0,1489595,1483647,1512074,1558307,1621505,1733039,1843933,1931225,2006709
Sri Lanka,16339.0,18841.0,21051.0,22601.0,24991.0,27060.0,28786.0,29927.0,31818.0,33810.0,37241.0,42666.0,42271.0,46508.0,51318.0,55565.0,63464.0,71202.0,70818.0,73884.0,81918.0,82132.0,86520.0,93469.0,101204.0,110893.0,123081.0,134998.0,145774.0,151900.0,166048.0,183744,210688,223390,233895,242361,259190,269854,285340,296995
Saint Kitts and Nevis,130.0,146.0,165.0,168.0,190.0,209.0,232.0,257.0,294.0,324.0,355.0,375.0,395.0,426.0,459.0,485.0,523.0,571.0,583.0,615.0,690.0,743.0,765.0,749.0,800.0,905.0,963.0,995.0,1127.0,1096.0,1110.0,1151,1106,1162,1266,1272,1337,1404,1476,1574
Saint Lucia,285.0,328.0,356.0,385.0,430.0,500.0,583.0,621.0,733.0,830.0,946.0,982.0,1084.0,1116.0,1158.0,1203.0,1261.0,1274.0,1369.0,1425.0,1458.0,1440.0,1469.0,1562.0,1720.0,1767.0,1935.0,2026.0,2165.0,2139.0,2176.0,2328,2312,2396,2455,2430,2573,2701,2847,2896
Saint Vincent and the Grenadines,170.0,193.0,210.0,225.0,246.0,264.0,284.0,293.0,344.0,369.0,401.0,424.0,464.0,492.0,497.0,542.0,557.0,588.0,621.0,643.0,670.0,697.0,752.0,826.0,883.0,934.0,1037.0,1100.0,1139.0,1122.0,1098.0,1116,1134,1185,1231,1271,1364,1345,1407,1440
Sudan,20182.0,23487.0,25968.0,26577.0,25987.0,26641.0,29877.0,32595.0,35192.0,37093.0,38804.0,42934.0,46346.0,48749.0,51540.0,57283.0,61520.0,66371.0,72650.0,76794.0,85119.0,96495.0,103821.0,112528.0,121484.0,132370.0,145367.0,157858.0,167074.0,163491.0,171840.0,169773,137750,142298,168145,170584,220516,187695,187027,186226
Suriname,2187.0,2440.0,2427.0,2394.0,2406.0,2460.0,2449.0,2289.0,2625.0,2791.0,2852.0,2541.0,2701.0,2704.0,2568.0,2919.0,3305.0,3597.0,3718.0,3736.0,3817.0,4094.0,4314.0,4671.0,5147.0,5570.0,6073.0,6555.0,6958.0,7213.0,7677.0,8295,9148,9854,10226,9623,8509,10431,11209,11534
Sweden,87604.0,100245.0,107926.0,114461.0,123748.0,130630.0,137220.0,145258.0,154090.0,164389.0,171821.0,175673.0,177996.0,178882.0,189883.0,201494.0,208424.0,218528.0,230517.0,243693.0,261093.0,270845.0,281109.0,293278.0,314211.0,333329.0,359637.0,382059.0,387631.0,373185.0,400150.0,421516,432488,444617,457508,481300,500373,530433,553695,574794
Switzerland,114300.0,127127.0,133040.0,139034.0,148680.0,159157.0,165274.0,171996.0,183700.0,199431.0,214538.0,219921.0,224433.0,229306.0,237193.0,243552.0,249409.0,259379.0,270240.0,278647.0,296578.0,308244.0,313156.0,319081.0,336244.0,356685.0,382935.0,409256.0,428165.0,422057.0,440787.0,458588,479469,503702,525136,546988,570073,588151,619914,638861
Syria,18922.0,22465.0,24469.0,25835.0,25028.0,27704.0,26917.0,27928.0,32591.0,31814.0,36423.0,41694.0,48293.0,53100.0,57236.0,61605.0,64594.0,64991.0,69373.0,68155.0,71298.0,75587.0,81292.0,81208.0,89144.0,97654.0,105747.0,114767.0,122204.0,130259.0,136359.0,136359,136359,136359,136359,136359,136359,136359,136359,136359
Taiwan,61570.0,72180.0,80326.0,91004.0,103763.0,112190.0,127624.0,147456.0,164905.0,186319.0,204002.0,228557.0,253192.0,276854.0,303984.0,330526.0,357368.0,385528.0,406261.0,439720.0,478077.0,481996.0,516340.0,548775.0,602680.0,655041.0,714220.0,783772.0,805185.0,797275.0,889524.0,941367,973232,1015239,1066102,1102036,1112781,1143224,1203154,1260982
Tajikistan,,,,,,,,,,,,,8099.0,7370.0,5917.0,5286.0,5148.0,5325.0,5671.0,5963.0,6605.0,7442.0,8246.0,9267.0,10524.0,11581.0,12774.0,14143.0,15553.0,16263.0,17528.0,19216,21657,24570,27630,25288,26829,27389,30090,32926
Tanzania,10461.0,11508.0,12293.0,13081.0,14014.0,15122.0,16444.0,17845.0,19288.0,20806.0,23105.0,24381.0,25082.0,25987.0,26958.0,28505.0,30347.0,31958.0,33516.0,35634.0,38239.0,41446.0,45107.0,49165.0,54436.0,60281.0,65037.0,72449.0,77948.0,82670.0,88984.0,98013,95918,103322,108827,117377,127683,134162,146926,159979
Thailand,74669.0,86563.0,96832.0,106240.0,116415.0,125671.0,135296.0,151840.0,178083.0,207632.0,240438.0,269457.0,301035.0,334905.0,369414.0,407786.0,438723.0,433999.0,405379.0,429888.0,459213.0,485732.0,523636.0,572359.0,624687.0,671257.0,726346.0,786520.0,815436.0,814994.0,886760.0,912790,1008787,1049948,1059446,1087227,1146041,1205839,1286371,1339060
Timor-Leste,,,,,,,,,,,,,,,,,,,,,1120.0,1333.0,1263.0,1260.0,1299.0,1380.0,1364.0,1544.0,1752.0,1940.0,2149.0,2320,2629,2864,3195,3484,3817,3911,3962,4788
Togo,2714.0,2869.0,2933.0,2891.0,3172.0,3394.0,3575.0,3572.0,4073.0,4406.0,4840.0,4974.0,4925.0,4219.0,4909.0,5999.0,5872.0,6201.0,6128.0,6373.0,6454.0,6653.0,7016.0,7635.0,7763.0,7633.0,8077.0,8197.0,8694.0,9234.0,9915.0,10769,11214,11966,12793,13806,14676,15491,16649,17873
Tonga,67.0,83.0,100.0,110.0,164.0,178.0,198.0,206.0,206.0,216.0,235.0,257.0,253.0,259.0,270.0,297.0,303.0,306.0,317.0,328.0,349.0,362.0,384.0,392.0,394.0,405.0,408.0,409.0,437.0,417.0,425.0,463,476,486,505,516,555,585,600,616
Trinidad and Tobago,7566.0,8661.0,9545.0,8897.0,8688.0,8594.0,8479.0,8293.0,8249.0,8501.0,8952.0,9543.0,10746.0,10927.0,11558.0,12250.0,13364.0,14618.0,15983.0,17509.0,19141.0,20296.0,22087.0,25649.0,28267.0,30872.0,36338.0,38908.0,40957.0,39231.0,41077.0,41850,40430,40692,40459,37543,36353,36460,37355,37550
Tunisia,13755.0,15887.0,16788.0,18260.0,20004.0,21806.0,21922.0,23969.0,24832.0,26472.0,29405.0,31658.0,34972.0,36688.0,38831.0,40704.0,44291.0,47634.0,50561.0,54358.0,57980.0,61537.0,63322.0,67609.0,73753.0,78718.0,85402.0,93595.0,99432.0,103115.0,108018.0,108148,110825,112068,115567,114133,117101,120710,126949,130487
Turkey,159188.0,181854.0,199712.0,217406.0,240621.0,258800.0,282337.0,318331.0,336546.0,350629.0,397415.0,414661.0,449491.0,497151.0,480066.0,525373.0,572480.0,626189.0,652819.0,640415.0,700332.0,674933.0,729649.0,786931.0,887212.0,997317.0,1099523.0,1186190.0,1218790.0,1167440.0,1281037.0,1454112,1550688,1703670,1860471,2022940,2116184,2282304,2406459,2471299
Turkmenistan,,,,,,,,,,,,,17745.0,16349.0,13810.0,13084.0,12431.0,11216.0,12103.0,14298.0,17340.0,21346.0,25097.0,29967.0,35292.0,41146.0,47067.0,53684.0,62782.0,67060.0,77753.0,90266,93486,92651,98098,89733,83556,89247,92591,86971
Tuvalu,,,,,,,,,,,,,,,,,,,,,23.0,24.0,26.0,26.0,26.0,26.0,27.0,29.0,32.0,30.0,30.0,33,32,34,35,39,41,44,45,53
Uganda,5919.0,6729.0,7731.0,8427.0,8469.0,8475.0,8727.0,9301.0,10428.0,11530.0,12739.0,13404.0,14512.0,15849.0,17433.0,19431.0,21092.0,22447.0,24078.0,26360.0,28019.0,31162.0,33881.0,36677.0,39848.0,45210.0,49890.0,55370.0,62317.0,67777.0,73725.0,81034,77235,80260,84146,84760,86248,89784,97087,106448
Ukraine,,,,,,,,,,,,,331074.0,290793.0,228991.0,205270.0,188125.0,185628.0,184151.0,186372.0,201840.0,224549.0,240135.0,268138.0,307825.0,327321.0,363065.0,403452.0,420235.0,359066.0,378281.0,407226,425994,486365,461987,435490,475722,504188,534240,561196
United Arab Emirates,89965.0,106378.0,104832.0,103218.0,111703.0,112329.0,92511.0,99827.0,100636.0,121036.0,155152.0,163834.0,172754.0,176798.0,193869.0,210958.0,226293.0,249883.0,254695.0,267972.0,307829.0,318806.0,331800.0,368168.0,414257.0,448041.0,507273.0,537816.0,565750.0,539606.0,554800.0,605575,631707,647296,678339,601179,598811,637385,660376,695121
United Kingdom,494408.0,537436.0,581894.0,630058.0,667441.0,716938.0,754414.0,814761.0,891842.0,950707.0,993523.0,1015795.0,1043111.0,1094427.0,1160795.0,1215135.0,1268216.0,1354269.0,1420291.0,1487764.0,1574817.0,1654262.0,1716650.0,1808682.0,1899695.0,2017179.0,2135438.0,2244917.0,2281589.0,2201747.0,2274426.0,2351301,2439692,2560721,2667371,2772584,2896461,3032779,3144123,3246271
United States,2857325.0,3207025.0,3343800.0,3634025.0,4037650.0,4339000.0,4579625.0,4855250.0,5236425.0,5641600.0,5963125.0,6158125.0,6520325.0,6858550.0,7287250.0,7639750.0,8073125.0,8577550.0,9062825.0,9631175.0,10250950.0,10581925.0,10929100.0,11456450.0,12217175.0,13039200.0,13815600.0,14474250.0,14769850.0,14478050.0,15048975.0,15599725,16253950,16843225,17550675,18206025,18695100,19479625,20527150,21372600
Uruguay,13570.0,15136.0,14570.0,14644.0,15007.0,15710.0,17445.0,19295.0,20268.0,21296.0,22158.0,23718.0,26183.0,27516.0,30150.0,30337.0,32615.0,34852.0,36753.0,36166.0,36329.0,35861.0,33852.0,35324.0,37955.0,41809.0,44866.0,49093.0,53625.0,56258.0,61377.0,65887,66779,70438,74226,74939,76887,79077,81353,83098
Uzbekistan,,,,,,,,,,,,,51142.0,51150.0,49526.0,50110.0,51895.0,55535.0,58575.0,61954.0,65765.0,70071.0,74010.0,78640.0,86727.0,95708.0,106061.0,119275.0,132503.0,144154.0,156236.0,171483,180491,190612,199767,209082,216467,221561,239002,257168
Vanuatu,109.0,124.0,134.0,144.0,163.0,170.0,173.0,172.0,175.0,185.0,214.0,229.0,240.0,247.0,276.0,284.0,296.0,316.0,323.0,329.0,357.0,352.0,339.0,361.0,385.0,418.0,468.0,494.0,532.0,551.0,565.0,595,612,626,657,666,705,763,804,851
Venezuela,118828.0,128394.0,139933.0,131082.0,142906.0,148703.0,160920.0,172818.0,190559.0,170467.0,188284.0,213592.0,231698.0,237843.0,237216.0,251761.0,255863.0,276857.0,280797.0,267752.0,283914.0,300164.0,277846.0,261357.0,317449.0,361186.0,409088.0,456921.0,490261.0,477603.0,476148.0,506340,544830,561817,550033,520974,436529,375106,308707,204249
Vietnam,29158.0,33767.0,38776.0,43152.0,48464.0,52806.0,55678.0,58509.0,63662.0,71319.0,77722.0,85018.0,94521.0,104577.0,116246.0,130007.0,144752.0,159251.0,170328.0,180973.0,197635.0,216021.0,234921.0,257144.0,284615.0,315695.0,348145.0,383045.0,412493.0,437546.0,471247.0,511889,568401,607018,660612,700257,770872,851064,934110,1018806
Palestine,,,,,,,,,,,,,,,4967.0,5432.0,5599.0,6531.0,7551.0,8291.0,7754.0,7190.0,6390.0,7430.0,9302.0,10677.0,10897.0,11615.0,12717.0,13899.0,14878.0,16646,19950,20886,22996,25426,27536,28519,29558,30497
Yemen,,,,,,,,,,,24197.0,26590.0,29428.0,31331.0,34151.0,36844.0,39257.0,42023.0,45049.0,47409.0,51480.0,54642.0,57677.0,61020.0,65147.0,70947.0,75455.0,80081.0,84594.0,88427.0,96383.0,85876,85441,92756,94312,68589,62781,60729,62647,64661
Zambia,7806.0,9111.0,9392.0,9648.0,9825.0,10261.0,10645.0,11071.0,12524.0,12539.0,12933.0,13281.0,13863.0,14180.0,12556.0,13190.0,14267.0,15067.0,15177.0,16107.0,17114.0,18430.0,19561.0,21332.0,23445.0,25930.0,28842.0,32096.0,35255.0,38752.0,43256.0,46612,49509,53420,54506,54473,55712,58735,62565,64602
Zimbabwe,,,,,,,,,,,,,,,,,,,28696.0,28777.0,28184.0,28688.0,26890.0,22972.0,22110.0,21113.0,20990.0,20824.0,17759.0,19195.0,23249.0,27102,31161,34187,35496,37016,37953,34396,36920,35272
