Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cape Verde,226.0,268.0,293.0,333.0,359.0,402.0,422.0,451.0,495.0,543.0,568.0,595.0,627.0,689.0,752.0,826.0,897.0,982.0,1077.0,1222.0,1340.0,1454.0,1555.0,1705.0,1837.0,2004.0,2255.0,2529.0,2749.0,2731.0,2805.0,2977,2940,2964,2979,3146,3358,3571,3822,4111
Cambodia,,,,,,,,4241.0,4813.0,5168.0,5422.0,6030.0,6604.0,7034.0,7772.0,8409.0,9068.0,9594.0,10156.0,11608.0,13007.0,14439.0,15629.0,17293.0,19593.0,22885.0,26133.0,29580.0,32164.0,32398.0,34743.0,37972,42401,45764,48654,52598,57942,62891,69203,75410
Cameroon,10334.0,13241.0,15122.0,16790.0,18695.0,20850.0,22714.0,22775.0,21724.0,22176.0,21589.0,21479.0,21298.0,21114.0,21027.0,22177.0,23693.0,25382.0,26924.0,28413.0,30089.0,32111.0,33993.0,36247.0,39744.0,41819.0,44600.0,48051.0,50681.0,52127.0,54559.0,57992,61350,66290,72250,75965,81471,87321,93039,98227
Canada,288709.0,327094.0,336235.0,358492.0,393376.0,425039.0,442898.0,472338.0,510559.0,542874.0,564117.0,571030.0,589301.0,619320.0,660978.0,693018.0,717134.0,760722.0,799257.0,852366.0,916809.0,954244.0,998365.0,1036411.0,1097084.0,1167744.0,1235488.0,1295165.0,1333258.0,1302543.0,1358930.0,1430807,1468095,1554123,1621397,1594899,1678387,1776855,1863502,1932147
Central African Republic,1006.0,1243.0,1273.0,1243.0,1416.0,1515.0,1657.0,1698.0,1788.0,1928.0,2028.0,2079.0,2022.0,2045.0,2351.0,2477.0,2367.0,2506.0,2619.0,2733.0,2695.0,2827.0,2932.0,2922.0,2998.0,3182.0,3436.0,3672.0,3840.0,3973.0,4207.0,4475,4889,3285,3216,3536,3862,4195,4460,4674
Chad,1858.0,1814.0,2029.0,2439.0,2660.0,2960.0,3200.0,3399.0,3784.0,4009.0,4293.0,4900.0,5131.0,5144.0,5542.0,5615.0,5838.0,6275.0,6787.0,6835.0,6929.0,7911.0,8716.0,10196.0,13991.0,15629.0,16216.0,17199.0,18066.0,18934.0,21767.0,22246,22192,20808,23012,25683,24494,24028,25169,26377
Chile,38406.0,44651.0,40968.0,41379.0,45396.0,47753.0,51441.0,56182.0,62402.0,71726.0,77143.0,85905.0,97643.0,106676.0,114469.0,127206.0,138437.0,151267.0,159634.0,161145.0,173588.0,183359.0,191982.0,203779.0,224320.0,244638.0,268116.0,288887.0,304927.0,302007.0,323438.0,350360,374116,394270,404578,407610,413339,436911,463980,477076
China,302760.0,348305.0,403112.0,464138.0,553986.0,648661.0,718609.0,822540.0,946918.0,1025381.0,1105115.0,1248742.0,1459551.0,1701521.0,1964285.0,2225450.0,2491030.0,2768307.0,3019394.0,3297109.0,3657469.0,4050989.0,4489109.0,5036463.0,5694740.0,6542261.0,7601315.0,8918947.0,9961922.0,10972761.0,12282959.0,13735671,15137455,16277355,17200686,17880337,18701703,19814058,21656955,23356236
Colombia,78513.0,87898.0,94215.0,99445.0,106487.0,113267.0,122277.0,132029.0,142240.0,152864.0,165375.0,175024.0,186805.0,202152.0,217098.0,233181.0,242333.0,254967.0,259306.0,251905.0,265147.0,275670.0,286976.0,304107.0,328924.0,355205.0,390760.0,428361.0,450911.0,458972.0,485367.0,529875,553768,591783,625019,630400,672094,700092,735198,772904
Comoros,322.0,372.0,411.0,440.0,475.0,504.0,525.0,550.0,598.0,617.0,687.0,666.0,732.0,768.0,753.0,812.0,823.0,874.0,884.0,921.0,932.0,1005.0,1068.0,1111.0,1176.0,1282.0,1298.0,1343.0,1423.0,1479.0,1553.0,1651,1818,1955,2063,2107,2278,2468,2619,2712
Democratic Republic of the Congo,20274.0,22402.0,23678.0,24952.0,27105.0,28092.0,30010.0,31574.0,32839.0,33697.0,32662.0,30914.0,28311.0,25079.0,24041.0,25223.0,25188.0,23613.0,22954.0,22392.0,21036.0,21058.0,22017.0,23704.0,25980.0,28439.0,30876.0,33696.0,36480.0,37762.0,40932.0,44655,46214,53768,62685,69036,75927,86267,93465,99313
Republic of the Congo,3061.0,3438.0,3738.0,3978.0,4219.0,4455.0,4651.0,4877.0,6155.0,7757.0,8129.0,8689.0,9259.0,9603.0,9671.0,10265.0,10818.0,10894.0,12003.0,11724.0,13399.0,13040.0,13374.0,13701.0,14041.0,15815.0,17605.0,16885.0,18294.0,20553.0,22866.0,23856,28576,28056,28096,22531,19019,21679,21121,21406
Costa Rica,8195.0,8768.0,8631.0,9226.0,10326.0,10729.0,11551.0,12401.0,13279.0,14582.0,15672.0,16569.0,18505.0,20288.0,21658.0,23031.0,23769.0,25503.0,27636.0,29206.0,31023.0,32830.0,34481.0,36679.0,39330.0,42177.0,46664.0,51862.0,55361.0,55229.0,58889.0,62759,67139,71160,77049,82853,90838,97896,102857,107059
Ivory Coast,20664.0,23410.0,24906.0,25234.0,25622.0,27384.0,29276.0,29850.0,31255.0,33439.0,34312.0,35487.0,36205.0,36996.0,37851.0,40798.0,44925.0,48315.0,51268.0,52831.0,52910.0,54168.0,54095.0,54413.0,56561.0,59339.0,62097.0,64901.0,67828.0,70482.0,72768.0,70672,78215,86354,97907,108069,112610,118051,129200,139706
Croatia,,,,,,,,,,,,,38797.0,36539.0,39522.0,43027.0,46389.0,50325.0,51839.0,52077.0,55254.0,58170.0,62431.0,67251.0,71925.0,77377.0,83747.0,90369.0,93846.0,87531.0,87417.0,89056,90339,92861,93503,96730,103833,110450,116263,121725
Cyprus,3008.0,3393.0,3829.0,4190.0,4725.0,5106.0,5395.0,5923.0,6642.0,7461.0,8313.0,8658.0,9684.0,9983.0,10798.0,12118.0,12494.0,13045.0,13998.0,14905.0,16152.0,17168.0,18085.0,18926.0,20411.0,22073.0,23826.0,25717.0,27167.0,26790.0,27658.0,28346,27503,26182,25644,26976,30414,32720,35257,36991
Czech Republic,,,,,,,,,,,,,,,,146309.0,155730.0,157594.0,158800.0,163266.0,173645.0,182961.0,188729.0,199351.0,214557.0,235894.0,259628.0,281498.0,294603.0,282683.0,293046.0,304401,307490,324030,342100,357600,381382,412903,436289,457548
Denmark,60799.0,66113.0,72780.0,77592.0,83746.0,89854.0,96155.0,98783.0,102259.0,106951.0,112587.0,118021.0,123075.0,126002.0,135551.0,142585.0,149414.0,156945.0,162224.0,169360.0,179690.0,185250.0,189016.0,193495.0,203990.0,215313.0,230640.0,239023.0,242362.0,231950.0,239122.0,247352,250525,262368,270331,278823,297689,320054,334223,347395
Djibouti,,,,,,,,,,,,1653.0,1700.0,1623.0,1635.0,1611.0,1579.0,1587.0,1607.0,1677.0,1727.0,1798.0,1885.0,1983.0,2093.0,2226.0,2405.0,2594.0,2798.0,2861.0,3016.0,3303,3436,3625,3857,4207,4385,4638,5152,5638
Dominica,124.0,151.0,167.0,178.0,192.0,201.0,219.0,239.0,267.0,277.0,302.0,317.0,331.0,346.0,353.0,372.0,390.0,406.0,426.0,433.0,453.0,463.0,457.0,496.0,525.0,545.0,588.0,642.0,701.0,697.0,710.0,723,706,721,776,793,852,839,889,973
Dominican Republic,13730.0,15672.0,16923.0,18400.0,19303.0,19490.0,20583.0,23226.0,24563.0,26650.0,26139.0,27279.0,31031.0,34106.0,35740.0,38564.0,41618.0,46097.0,49746.0,53443.0,57202.0,59929.0,63599.0,63982.0,67388.0,76054.0,85593.0,94426.0,99325.0,100907.0,110637.0,116474,118183,125424,136976,151560,167506,175941,192722,206081
Ecuador,26044.0,29620.0,31828.0,32148.0,34707.0,37380.0,39312.0,37879.0,43327.0,45154.0,48253.0,52435.0,55568.0,58023.0,61786.0,64503.0,66821.0,70915.0,74056.0,71540.0,73960.0,78663.0,83162.0,87112.0,96795.0,105113.0,113128.0,118730.0,128699.0,130258.0,136471.0,150267,159560,175196,186847,179310,181967,195011,202244,205887
Egypt,88533.0,99039.0,112832.0,127657.0,142874.0,158336.0,169211.0,180805.0,194656.0,208343.0,221218.0,233503.0,239541.0,252329.0,268511.0,286433.0,305909.0,329603.0,358454.0,385714.0,415688.0,440032.0,461126.0,485244.0,518659.0,558844.0,615515.0,676955.0,739310.0,778822.0,828753.0,860900,958660,992022,985262,1064236,1057087,1062266,1145440,1230730
El Salvador,10106.0,10429.0,10375.0,10947.0,11494.0,11930.0,12194.0,12809.0,13510.0,14175.0,15416.0,16176.0,17706.0,19180.0,20509.0,21930.0,22514.0,23620.0,24520.0,25403.0,26271.0,27099.0,27955.0,28953.0,29995.0,31774.0,34176.0,35753.0,37214.0,36671.0,37893.0,40156,40804,43093,45534,48056,51095,54006,56630,59162
Equatorial Guinea,89.0,104.0,112.0,123.0,128.0,150.0,149.0,159.0,169.0,174.0,185.0,189.0,257.0,291.0,347.0,448.0,696.0,1756.0,2217.0,2841.0,6117.0,10009.0,12159.0,14192.0,19002.0,21207.0,23282.0,27565.0,33095.0,33754.0,31111.0,33830,38743,37423,37816,28095,24861,28459,27322,26148
Eritrea,,,,,,,,,,,,,1694.0,1957.0,2417.0,2525.0,2807.0,3081.0,3177.0,3227.0,2893.0,3217.0,3365.0,3340.0,3480.0,3681.0,3758.0,3915.0,3214.0,3629.0,4071.0,5224,5425,4943,6594,5312,5744,5247,6073,6419
Estonia,,,,,,,,,,,,,,11205.0,11257.0,11741.0,12547.0,14428.0,15224.0,15373.0,17307.0,18760.0,20342.0,22320.0,24479.0,27651.0,31288.0,34569.0,33423.0,28717.0,29772.0,32598,34385,36198,38050,38389,41197,44663,47621,50458
